model_key,structural_model_id,raw_model_id,source_group,family_group,vf_group,weight,measured_vf,height,performance_source_file,performance_sheet,source_block_index,structural_excel_row,crosswalk_status,x__Type,x__Source,x__Target VF,x__Actual VF,x__Node 개수,x__Strut 개수,x__Global: Strut No. at Nodes-AVG,x__Global: Strut No. at Nodes-STDEV,x__Node: Strut count - AVG,x__Node: Strut count - STDEV,x__Global: Length - AVG,x__Global: Length - STDEV,x__Global: Angle-Z (weighted with length)-AVG,x__Global: Angle-Z (weighted with length)-STDEV,x__Node: Length - AVG,x__Node: Length - STDEV,x__Node: Angle-Z (weighted with length)-AVG,x__Node: Angle-Z (weighted with length)-STDEV,x__Global: l/d AVG,x__Global: l/d STDEV,x__Node: l/d AVG,x__Node: l/d STDEV,x__Global: Angle-X (weighted with length)-AVG,x__Global: Angle-X (weighted with length)-STDEV,x__Node: Angle-X (weighted with length)-AVG,x__Node: Angle-X (weighted with length)-STDEV,x__Global: Angle-Y (weighted with length)-AVG,x__Global: Angle-Y (weighted with length)-STDEV,x__Node: Angle-Y (weighted with length)-AVG,x__Node: Angle-Y (weighted with length)-STDEV,x__connected_components,x__maxwell_index_M_3D,x__total_strut_length_mm,x__mean_radius_mm,x__std_radius_mm,x__mean_diameter_mm,x__surface_area_mm2,x__surface_to_solid_volume_1_per_mm,x__solid_volume_mm3_approx,x__bbox_x_mm,x__bbox_y_mm,x__bbox_z_mm,x__mass_center_x_mm,x__mass_center_y_mm,x__mass_center_z_mm,y__Modulus,y__Com. Strength,y__Com. strain,y__APS,y__AS,y__Yield strength,y__Yield strain,y__LCC,y__EAS,y__Densif. strength,y__Densifi. strain,y__EAE,y__SE,y__Total energy,y__SEA,y__Max. Plateau stress
VF30_B1,VF30_B1. SC,B1,bcl,B,30,10.4127,0.3167660618134027,30.12,New_VF30.xlsx,VF30,1,152,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.5735343440118909,216,540,5,0.8183932073645682,5,0.8183932073645682,6,0,30,42.42640687119285,6,0,30,7.567371821119256,2.432243769199524,0,2.432243769199524,0,30,42.42640687119285,30,7.567371821119256,30,42.42640687119285,30,7.567371821119256,1,-102,3240,1.233429,0,2.466858,25109.55602360744,1.621495846133016,15485.42728832105,30,30,30,-4.649058915617843e-16,9.71445146547012e-17,2.775557561562891e-17,676.66,30.62196734230315,0.05827564671235106,25.67280939896847,21.911014714995215,27.32475665481576,0.042372592263479884,0.30063706332058404,0.11051671349234374,0.21046025664813164,0.12949078615458215,71.553256099016,0.8383788380409644,2.837274520889348,7.386445178701822,25.67280939896847
VF30_B2,VF30_B2. SC8,B2,bcl,B,30,11.1071,0.340262842410308,29.91,New_VF30.xlsx,VF30,2,155,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4815929826681151,1331,3630,5.454545454545454,0.6682937537889932,5.454545454545454,0.6682937537889932,3,0,30,42.42640687119285,3,0,30,5.953579829141026,2.4330900243309,0,2.4330900243309,0,30,42.42640687119285,30,5.953579829141026,30,42.42640687119285,30,5.953579829141026,1,-357,10890,0.6165,0,1.233,42183.32694903199,3.244120032441202,13003.01053203911,30,30,30,-9.540979117872439e-17,1.734723475976807e-18,1.058181320345852e-16,555.95,26.972612445030652,0.11819110817231303,25.15907729419184,21.399433195947605,22.23771074463181,0.04196242211413852,0.2133460228529356,0.12964921438153598,0.4571629227971297,0.1524271496300195,79.33763642494395,0.93276383018016,3.261854605756312,7.905381614674771,25.15907729419184
VF30_B3,VF30_B3. BCC,B3,bcl,B,30,10.7297,0.32991462793850396,29.8,New_VF30.xlsx,VF30,3,158,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.3966485379524625,341,1000,5.865102639296188,2.486312365856443,5.865102639296188,2.486312365856443,5.196152422706632,0,35.26438968275545,7.958078640513121e-13,5.196152422706632,0,35.26438968275465,0,3.207620296249634,0,3.207620296249634,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,35.26438968275545,7.958078640513121e-13,35.26438968275465,0,1,-17,5196.152422706627,0.80997,0,1.61994,26444.21527887822,2.469227255330446,10709.51052471649,30,30,30,7.979727989493313e-17,8.673617379884035e-17,2.081668171172169e-17,171.7,8.352329124579438,0.049924080178746215,7.019715679141172,5.353632118631315,8.217614138699123,0.04895092581633011,0.40731905556357106,0.06371861315608854,0.3031087182307054,0.08354824125257171,64.09747555177772,0.8404500797847372,0.44728654782492566,1.1180392007851576,7.019715679141172
VF30_B4,VF30_B4. BCC2,B4,bcl,B,30,11.5127,0.35209968419083915,29.96,New_VF30.xlsx,VF30,4,161,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4003600725703719,881,2500,5.675368898978434,6.05984881159924,5.675368898978434,6.05984881159924,4.624045381354223,0.4672168959143087,32.36628916441202,15.95579391949858,4.530534128284136,0.4010610537484269,31.62644076847501,16.76561613782406,4.237803495195148,0.4281907358660089,4.152103143572639,0.3675608250332467,32.36628916441202,15.95579391949858,31.62644076847501,16.76561613782406,32.36628916441202,15.95579391949858,31.62644076847501,16.76561613782406,1,-137,11560.11345338552,0.545571,0,1.091142,39627.18678008927,3.665884000432575,10809.72195940004,30,30,30,7.806255641895632e-18,-2.34187669256869e-17,-8.673617379884035e-18,191.99,157.78359950315738,0.9359139761026306,7.010895468343678,6.0858962979565785,9.18300549108376,0.04979915634295109,0.5809198368950933,0.10529120724994505,0.4733507985094721,0.12129448344575483,3.857115896151675,0.0444336134453783,0.7381856477650748,1.7289113593108028,7.010895468343678
VF30_B5,VF30_B5. FCC,B5,bcl,B,30,11.7583,0.3585339756526695,30.05,New_VF30.xlsx,VF30,5,164,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4502881257440824,666,2800,8.408408408408409,2.308830030479394,8.408408408408409,2.308830030479394,4.242640687119285,0,35.35714285714099,18.46466564958602,4.242640687119285,0,36.1936936936937,8.5248432626002,3.71664606886871,0,3.71664606886871,0,27.32142857142728,21.97734803224887,26.90315315315316,5.535922113947847,27.32142857142728,21.97734803224884,26.90315315315316,5.535922113947847,1,808,11879.39392393435,0.570762,0,1.141524,42601.92302602564,3.504087518089852,12157.77939509023,30,30,30,3.642919299551295e-17,0,0,254.53,23.49072276034801,0.8381935911521401,8.90292688314536,8.022995804878978,12.737054161613498,0.052037185162123564,0.4723448433783675,0.12594454192532412,1.5495199709992091,0.1397576510523066,34.15389082204688,0.37899757167852527,1.1212750480923959,2.579019388488034,8.90292688314536
VF30_C1,VF30_C1. SC+FCC,C1,bcl,C,30,11.8651,0.3615498880671534,30.07,New_VF30.xlsx,VF30,6,167,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4689480572526327,666,3340,10.03003003003003,3.497668267198523,10.03003003003003,3.497668267198523,4.526764647884431,0.6470755942755623,34.20913765637215,25.66015210277854,4.463207075045331,0.3218293948774661,36.1936936936937,8.841568619718874,4.383851101960517,0.6266469051671146,4.322300092044675,0.3116689859359542,27.89543117181107,27.68459197936368,26.90315315315316,6.012222272753585,27.89543117181105,27.68459197936368,26.90315315315316,6.012222272753585,1,1348,15119.39392393467,0.5163,0,1.0326,49047.44352438927,3.873716831299634,12661.59754582108,30,30,30,7.308390004290288e-15,1.465841337200402e-16,-1.48318857196017e-16,300.15,19.053771322449872,0.7743414957182986,6.770669717032425,6.723188922982557,11.555190350388957,0.040453900108055774,0.31777754652155676,0.6609606281420627,6.0234502890325405,0.6656284927252822,35.28534487585165,0.3553453855644298,4.475146109112194,10.207320557846398,6.770669717032425
VF30_C10,VF30_C10. SC8+BCC,C10,bcl,C,30,11.8413,0.3614256351520693,30.02,New_VF30.xlsx,VF30,15,194,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4597279237092271,1331,4630,6.95717505634861,3.053724335044834,6.95717505634861,3.053724335044834,3.474330976826487,0.9038194965820315,31.70050428998286,34.99462836546444,3.278300307009656,0.4860153843005604,30.84188422820155,5.512555544720079,3.505176530293066,0.9118437213297335,3.307405475191341,0.4903302908601297,31.70050428998285,34.99462836546432,30.84188422820155,5.512555544720079,31.70050428998286,34.99462836546445,30.84188422820155,5.512555544720079,1,643,16086.15242270639,0.4955999999999999,0,0.9911999999999997,50091.42025887463,4.035512510088782,12412.65394014913,30,30,30,-1.39645239816133e-16,1.994931997373328e-17,-1.127570259384925e-17,311.72,24.655448436472337,0.7988928897007996,14.97123034513451,12.9831338091224,14.018559210762328,0.04696084439766839,0.3314171952758108,0.15786389273314771,2.7360784424514195,0.18203745998727533,52.65827487411138,0.6072179292828377,2.3634167012875604,5.392549165664859,14.97123034513451
VF30_C11,VF30_C11. SC+DGR+BCC,C11,bcl,C,30,10.9806,0.334486424517635,30.08,New_VF30.xlsx,VF30,16,197,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4907320673479409,791,3340,8.445006321112515,6.75009214892266,8.445006321112515,6.75009214892266,4.812247203449505,0.6687310106600088,31.70190579000287,24.13957546141946,4.598125880265186,0.4144631709077064,31.19387313324934,16.28862054634562,4.697166621229385,0.6527389074280223,4.488165817730781,0.4045516553515924,31.70190579000283,24.13957546141942,31.19387313324934,16.28862054634562,31.70190579000287,24.13957546141947,31.19387313324934,16.28862054634562,1,973,16072.9056595216,0.51225,0,1.0245,51731.63813916802,3.904343582235238,13249.7658183944,30,30,30,3.903127820947816e-16,-1.304512053934559e-15,-6.938893903907228e-17,418.34,20.994042530572095,0.7442249588428442,10.365721082570696,9.714094495074772,15.51300294584995,0.03907203331092922,0.3687407788630194,0.12836671162736643,2.225634255614447,0.13697761841731218,46.270719328727864,0.4937458361092606,1.330613529016065,3.280546550964693,10.365721082570696
VF30_C12,VF30_C12. SC2+DGR+BCC,C12,bcl,C,30,11.5827,0.354832712840064,29.91,New_VF30.xlsx,VF30,17,200,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4850842926808512,791,4090,10.34134007585335,6.331140455537716,10.34134007585335,6.331140455537716,4.479928034112798,0.9257995123020916,31.49291666466051,27.06491625963296,4.245162148317644,0.4809892780913193,30.9424923037586,6.408107441449696,4.695941335548007,0.9704397403585865,4.449855501381179,0.5041816332194122,31.49291666466048,27.06491625963295,30.9424923037586,6.408107441449696,31.49291666466051,27.06491625963295,30.9424923037586,6.408107441449696,1,1723,18322.90565952183,0.477,0,0.954,54915.20294500203,4.19287211740042,13097.27590238298,30,30,30,-3.694961003830599e-15,-4.77048955893622e-17,8.673617379884035e-19,379.17,19.13264657745603,0.7674123913966073,7.778837837212318,7.74360926740428,14.059833573286019,0.03906066956444425,0.2777085263377059,0.5268344146413712,4.509167114817788,0.5292311810990481,40.473278153418484,0.40657406207346725,4.098159478557902,9.52440752184725,7.778837837212318
VF30_C13,VF30_C13. SC8+DGR+BCC2,C13,bcl,C,30,12.2419,0.37502711693446084,29.91,New_VF30.xlsx,VF30,18,203,eligible_exact_model_label_join,Imported,"B, C, L model_30 mm_merge.xlsx",0.3,0.4853804827582909,1331,7430,11.16453794139745,5.751297087492261,11.16453794139745,5.751297087492261,3.763868956479223,0.8047634011106486,33.25379595245317,29.19786807751992,3.580985888407077,0.3828470556421007,32.82432006575667,8.246093047896274,4.872681811446572,1.041841794295047,4.635922506135829,0.4956314649004533,29.84033088808686,30.23704962645375,29.3071851298972,8.96865444793552,29.84033088808686,30.23704962645374,29.3071851298972,8.96865444793552,1,3443,27965.54634664239,0.3862214999999999,0,0.7724429999999998,67864.02639145598,5.178375621243251,13105.27303447385,30,30,30,-2.545706700995964e-16,-9.454242944073599e-17,3.469446951953614e-18,381.76,24.650069360344386,0.7637932847701453,11.391605258187015,10.732770496826651,14.458213759432763,0.03982136902290356,0.319886799413931,0.22009227407642704,5.599595083059001,0.23360271305499983,43.54052858809767,0.4621327872007198,2.507204306655364,5.513150142613135,11.391605258187015
